epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,308.77,0.29407,0.27669,0.79409,0.99261,1,0.995,0.98609,0.25143,0.22133,0.83694,0.000880023,0.000880023,0.000880023
44,316.32,0.30979,0.27374,0.79939,0.9872,0.9971,0.995,0.98461,0.22904,0.25073,0.83154,0.000874524,0.000874524,0.000874524
45,323.812,0.29898,0.27365,0.79465,0.99676,1,0.995,0.98181,0.22311,0.17978,0.82661,0.000869024,0.000869024,0.000869024
46,331.408,0.27914,0.25757,0.78638,0.98484,0.98864,0.995,0.98643,0.20181,0.2296,0.82802,0.000863525,0.000863525,0.000863525
47,340.436,0.28813,0.25356,0.79173,0.99546,1,0.995,0.9837,0.21842,0.20408,0.82863,0.000858025,0.000858025,0.000858025
48,346.88,0.28268,0.25906,0.79061,0.99575,0.99899,0.995,0.98658,0.20514,0.20378,0.82999,0.000852526,0.000852526,0.000852526
49,354.633,0.28575,0.26105,0.78998,0.99209,0.99646,0.995,0.98329,0.24607,0.19721,0.82909,0.000847026,0.000847026,0.000847026
50,361.171,0.27116,0.25601,0.79487,0.98593,0.99265,0.995,0.98966,0.21394,0.2219,0.82962,0.000841527,0.000841527,0.000841527
51,368.965,0.27545,0.25826,0.79083,0.99636,0.99998,0.995,0.98742,0.19624,0.18147,0.82715,0.000836027,0.000836027,0.000836027
52,376.367,0.27383,0.25289,0.78436,0.99593,0.99916,0.995,0.95076,0.32459,0.22466,0.83682,0.000830528,0.000830528,0.000830528
53,383.236,0.30034,0.25927,0.79063,0.99501,1,0.995,0.98749,0.23585,0.18618,0.83173,0.000825029,0.000825029,0.000825029
54,391.098,0.26697,0.2445,0.79678,0.99375,0.99671,0.995,0.98059,0.20435,0.21445,0.82846,0.000819529,0.000819529,0.000819529
55,397.652,0.27956,0.24442,0.79447,0.99586,1,0.995,0.9852,0.20059,0.1775,0.82891,0.00081403,0.00081403,0.00081403
56,405.351,0.26406,0.24138,0.79299,0.99706,1,0.995,0.98924,0.18549,0.21064,0.82727,0.00080853,0.00080853,0.00080853
57,412.241,0.25243,0.24378,0.78459,0.99772,1,0.995,0.98272,0.22992,0.21432,0.82725,0.000803031,0.000803031,0.000803031
58,419.96,0.27348,0.25434,0.78465,0.9962,1,0.995,0.98728,0.20256,0.19052,0.82528,0.000797531,0.000797531,0.000797531
59,426.543,0.27236,0.24894,0.7899,0.99378,1,0.99481,0.98506,0.20938,0.17092,0.82611,0.000792032,0.000792032,0.000792032
60,434.238,0.27367,0.24937,0.79596,0.99761,1,0.995,0.98749,0.2277,0.21332,0.83101,0.000786532,0.000786532,0.000786532
61,441.73,0.27276,0.2441,0.79341,0.99576,1,0.995,0.98557,0.18123,0.17771,0.82473,0.000781033,0.000781033,0.000781033
62,448.744,0.25772,0.23206,0.7945,0.99694,1,0.995,0.98792,0.1933,0.16248,0.82251,0.000775534,0.000775534,0.000775534
63,456.704,0.25408,0.2309,0.7836,0.99595,1,0.995,0.98831,0.19743,0.17701,0.82419,0.000770034,0.000770034,0.000770034
64,463.334,0.2614,0.24004,0.77629,0.99616,1,0.995,0.9854,0.19958,0.1985,0.82677,0.000764535,0.000764535,0.000764535
65,470.914,0.25097,0.2286,0.78653,0.99726,1,0.995,0.98954,0.16676,0.14323,0.82139,0.000759035,0.000759035,0.000759035
66,477.42,0.25669,0.22804,0.78927,0.99618,1,0.995,0.99159,0.15923,0.13213,0.82088,0.000753536,0.000753536,0.000753536
