epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,689.027,0.21636,0.23938,0.78812,0.99787,1,0.995,0.99458,0.15713,0.19755,0.71184,0.000953349,0.000953349,0.000953349
45,704.217,0.20157,0.22595,0.78701,0.99802,1,0.995,0.99447,0.15313,0.14292,0.73532,0.000949683,0.000949683,0.000949683
46,719.631,0.21765,0.24183,0.79242,0.99822,1,0.995,0.99458,0.15978,0.18332,0.72109,0.000946016,0.000946016,0.000946016
47,734.773,0.20164,0.22572,0.78935,0.99776,1,0.995,0.99425,0.12579,0.16424,0.71404,0.00094235,0.00094235,0.00094235
48,750.596,0.20942,0.24425,0.79113,0.99158,1,0.995,0.99402,0.19198,0.22649,0.73497,0.000938684,0.000938684,0.000938684
49,765.956,0.21883,0.2343,0.78872,0.99741,1,0.995,0.99445,0.16545,0.2037,0.73568,0.000935018,0.000935018,0.000935018
50,781.835,0.22354,0.24364,0.7894,0.99768,1,0.995,0.99463,0.15865,0.19611,0.71808,0.000931351,0.000931351,0.000931351
51,797.292,0.2223,0.23724,0.79095,0.99753,1,0.995,0.99464,0.14039,0.18422,0.7114,0.000927685,0.000927685,0.000927685
52,812.995,0.20581,0.23061,0.7886,0.9972,1,0.995,0.99397,0.16217,0.17503,0.73376,0.000924019,0.000924019,0.000924019
53,828.317,0.2169,0.23864,0.79052,0.99805,1,0.995,0.99419,0.15247,0.19835,0.7371,0.000920352,0.000920352,0.000920352
54,844.013,0.2084,0.22538,0.7889,0.99704,1,0.995,0.995,0.14232,0.15646,0.73584,0.000916686,0.000916686,0.000916686
55,859.644,0.20418,0.23036,0.7883,0.99794,1,0.995,0.99399,0.14822,0.16312,0.72098,0.00091302,0.00091302,0.00091302
56,874.79,0.20487,0.23328,0.7877,0.99758,1,0.995,0.99461,0.15851,0.16767,0.71073,0.000909353,0.000909353,0.000909353
57,889.911,0.20991,0.22872,0.78551,0.99598,1,0.995,0.99411,0.22258,0.18482,0.7374,0.000905687,0.000905687,0.000905687
58,905.549,0.22406,0.24081,0.79103,0.9975,1,0.995,0.99434,0.15339,0.1713,0.74496,0.000902021,0.000902021,0.000902021
59,921.036,0.20281,0.22935,0.79188,0.99698,1,0.995,0.99429,0.14756,0.17464,0.74574,0.000898355,0.000898355,0.000898355
60,936.507,0.19922,0.22646,0.78221,0.99571,1,0.995,0.99427,0.16242,0.19093,0.74555,0.000894688,0.000894688,0.000894688
61,951.529,0.19977,0.22426,0.78945,0.99145,1,0.995,0.99328,0.16141,0.185,0.74925,0.000891022,0.000891022,0.000891022
62,966.53,0.19123,0.21615,0.78506,0.9978,1,0.995,0.99462,0.14716,0.15837,0.7293,0.000887356,0.000887356,0.000887356
63,981.814,0.20496,0.22423,0.78924,0.99666,1,0.995,0.995,0.14313,0.15552,0.73291,0.000883689,0.000883689,0.000883689
64,996.892,0.19393,0.21051,0.78205,0.99731,1,0.995,0.995,0.1252,0.14352,0.74104,0.000880023,0.000880023,0.000880023
65,1012.62,0.19807,0.21961,0.7936,0.99785,1,0.995,0.995,0.13863,0.15989,0.73847,0.000876357,0.000876357,0.000876357
66,1027.5,0.19536,0.21659,0.78395,0.99802,1,0.995,0.995,0.12932,0.148,0.74185,0.000872691,0.000872691,0.000872691
67,1043.17,0.19377,0.21135,0.78182,0.9979,1,0.995,0.995,0.13512,0.13724,0.73985,0.000869024,0.000869024,0.000869024
68,1058.2,0.18528,0.20964,0.77696,0.998,1,0.995,0.995,0.12612,0.16001,0.74312,0.000865358,0.000865358,0.000865358
69,1073.82,0.1861,0.20505,0.78552,0.99789,1,0.995,0.99409,0.13764,0.14068,0.7396,0.000861692,0.000861692,0.000861692
70,1088.92,0.18599,0.20945,0.78547,0.99807,1,0.995,0.99464,0.14945,0.17099,0.73763,0.000858025,0.000858025,0.000858025
71,1104,0.19017,0.20722,0.78759,0.99754,1,0.995,0.99477,0.14424,0.15187,0.73759,0.000854359,0.000854359,0.000854359
72,1119.42,0.1898,0.21214,0.78469,0.99756,1,0.995,0.995,0.1274,0.15021,0.73899,0.000850693,0.000850693,0.000850693
73,1135.17,0.19066,0.20722,0.78493,0.99803,1,0.995,0.99468,0.13961,0.15901,0.73917,0.000847026,0.000847026,0.000847026
74,1150.64,0.185,0.21232,0.782,0.99719,1,0.995,0.9947,0.14454,0.1654,0.73073,0.00084336,0.00084336,0.00084336
75,1165.91,0.18192,0.20111,0.78644,0.99793,1,0.995,0.995,0.10729,0.14191,0.71993,0.000839694,0.000839694,0.000839694
76,1181.43,0.18355,0.20143,0.78793,0.99719,1,0.995,0.9946,0.12614,0.15851,0.7516,0.000836027,0.000836027,0.000836027
77,1196.83,0.18297,0.2047,0.78887,0.99773,1,0.995,0.995,0.1262,0.17304,0.72791,0.000832361,0.000832361,0.000832361
78,1212.09,0.18845,0.20476,0.78976,0.99698,1,0.995,0.995,0.10865,0.13168,0.75686,0.000828695,0.000828695,0.000828695
79,1227.25,0.17761,0.19694,0.77864,0.99812,1,0.995,0.995,0.14537,0.16276,0.74726,0.000825029,0.000825029,0.000825029
80,1241.81,0.18087,0.20286,0.78326,0.99801,1,0.995,0.995,0.11746,0.14685,0.73632,0.000821362,0.000821362,0.000821362
81,1257.24,0.17885,0.20037,0.78987,0.99762,1,0.995,0.995,0.11618,0.1441,0.73046,0.000817696,0.000817696,0.000817696
82,1272.67,0.18456,0.20052,0.78361,0.99792,1,0.995,0.99458,0.11403,0.15398,0.72585,0.00081403,0.00081403,0.00081403
83,1287.88,0.17858,0.19268,0.78481,0.9977,1,0.995,0.99464,0.11849,0.16129,0.74005,0.000810363,0.000810363,0.000810363
84,1303,0.1728,0.19165,0.77695,0.99777,1,0.995,0.9947,0.10763,0.1392,0.74,0.000806697,0.000806697,0.000806697
85,1317.82,0.17338,0.18687,0.78515,0.99801,1,0.995,0.995,0.11191,0.15839,0.74423,0.000803031,0.000803031,0.000803031
86,1333.07,0.18109,0.18795,0.77948,0.99715,1,0.995,0.995,0.1108,0.16285,0.76191,0.000799365,0.000799365,0.000799365
87,1348.69,0.16545,0.18443,0.77913,0.99806,1,0.995,0.995,0.1066,0.12056,0.73118,0.000795698,0.000795698,0.000795698
88,1363.8,0.16904,0.19698,0.77442,0.99805,1,0.995,0.99465,0.13618,0.16035,0.7334,0.000792032,0.000792032,0.000792032
89,1378.29,0.16768,0.19899,0.77766,0.99797,1,0.995,0.995,0.12023,0.17984,0.74623,0.000788366,0.000788366,0.000788366
90,1393.75,0.17271,0.19387,0.78522,0.99841,1,0.995,0.995,0.14605,0.16641,0.74321,0.000784699,0.000784699,0.000784699
91,1408.97,0.1731,0.19126,0.77749,0.99792,1,0.995,0.99472,0.13077,0.17802,0.75016,0.000781033,0.000781033,0.000781033
92,1423.52,0.18037,0.19639,0.78971,0.99798,1,0.995,0.995,0.12267,0.17514,0.7519,0.000777367,0.000777367,0.000777367
