epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,287.592,0.38558,0.43679,0.80101,0.96768,0.99888,0.99426,0.93058,0.36559,0.51431,0.84917,0.000957015,0.000957015,0.000957015
44,293.65,0.383,0.42747,0.80724,0.99035,1,0.995,0.95257,0.30566,0.37765,0.83758,0.000953349,0.000953349,0.000953349
45,301.076,0.37182,0.4318,0.81175,0.99604,0.99913,0.995,0.9191,0.36486,0.40514,0.85321,0.000949683,0.000949683,0.000949683
46,307.239,0.37215,0.40461,0.79948,0.99244,1,0.995,0.92757,0.39519,0.36306,0.84946,0.000946016,0.000946016,0.000946016
47,314.027,0.42026,0.46021,0.81422,0.99277,1,0.995,0.95149,0.31978,0.3797,0.84475,0.00094235,0.00094235,0.00094235
48,320.384,0.39935,0.41741,0.81689,0.99628,1,0.995,0.95876,0.30438,0.32812,0.83877,0.000938684,0.000938684,0.000938684
49,326.781,0.36549,0.42302,0.80417,0.99693,1,0.995,0.97002,0.31322,0.34745,0.84185,0.000935018,0.000935018,0.000935018
50,333.684,0.3457,0.40228,0.79475,0.99641,0.99857,0.995,0.96471,0.34332,0.36481,0.84588,0.000931351,0.000931351,0.000931351
51,339.632,0.38045,0.40363,0.79426,0.99397,1,0.995,0.95173,0.35067,0.36603,0.85814,0.000927685,0.000927685,0.000927685
52,346.601,0.35933,0.39352,0.79981,0.99093,0.99813,0.995,0.96516,0.30431,0.39084,0.84062,0.000924019,0.000924019,0.000924019
53,352.68,0.39727,0.42495,0.81395,0.9953,1,0.995,0.95623,0.32357,0.3193,0.84367,0.000920352,0.000920352,0.000920352
54,359.821,0.3555,0.38326,0.80886,0.99512,1,0.995,0.94444,0.37753,0.35064,0.84921,0.000916686,0.000916686,0.000916686
55,365.964,0.34431,0.37771,0.78883,0.99093,0.9984,0.99496,0.94817,0.35509,0.33381,0.84282,0.00091302,0.00091302,0.00091302
56,373.259,0.35051,0.36769,0.79949,0.99257,1,0.995,0.95164,0.34584,0.31085,0.84669,0.000909353,0.000909353,0.000909353
57,379.341,0.34365,0.36106,0.79809,0.98945,0.99487,0.995,0.96554,0.30209,0.27826,0.8487,0.000905687,0.000905687,0.000905687
58,386.583,0.34824,0.36595,0.79597,0.9971,0.99726,0.995,0.91975,0.44584,0.35037,0.87934,0.000902021,0.000902021,0.000902021
59,392.918,0.38101,0.3968,0.81384,0.98884,1,0.995,0.97195,0.29249,0.31432,0.84974,0.000898355,0.000898355,0.000898355
60,400,0.34688,0.37705,0.79286,0.98474,0.99895,0.995,0.95998,0.30495,0.32732,0.85277,0.000894688,0.000894688,0.000894688
61,406.401,0.3553,0.37951,0.79397,0.99115,0.99865,0.995,0.96477,0.32215,0.32373,0.85424,0.000891022,0.000891022,0.000891022
62,412.798,0.33741,0.35742,0.80924,0.99734,1,0.995,0.94423,0.32058,0.3249,0.86211,0.000887356,0.000887356,0.000887356
63,419.432,0.32384,0.35716,0.79578,0.99567,0.99358,0.995,0.95714,0.29183,0.27427,0.85086,0.000883689,0.000883689,0.000883689
64,425.474,0.34448,0.34143,0.7985,0.99313,0.99647,0.995,0.95895,0.30346,0.27677,0.85364,0.000880023,0.000880023,0.000880023
65,432.333,0.32491,0.34011,0.79468,0.98754,0.99645,0.995,0.97893,0.25116,0.27615,0.84865,0.000876357,0.000876357,0.000876357
